SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,Sr87Sr86,Nd143Nd144,Pb206Pb204,Pb207Pb204,Pb208Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr,Class
54.33189933,0.611893235,19.62278306,6.939478836,6.467078503,5.464839583,6.213881302000001,0.348146151,0.704911,0.512845,19.069000000000003,15.620999999999999,38.951,6.4,17.0,8.5,2.2,2.3,1.3,0.22,19.0,1.4,0.93,11.0,449.0,0.1,1.2,12.0,51.0,CA
55.08561997,1.2378791,17.12399422,9.376934186,3.47637714,9.32535589,3.331957912,1.041881576,0.705761,0.5126930000000001,18.985,15.649000000000001,38.978,22.0,50.0,29.0,7.0,6.9,3.8,0.58,307.0,6.3,7.5,26.0,308.0,0.52,10.2,36.0,219.0,CA
54.93912864,1.2185746579999999,16.83285332,9.670571766,4.2237036869999995,9.036040895,3.263301626,0.815825406,0.7053189999999999,0.512759,18.798,15.617,38.718,21.0,49.0,28.0,6.9,6.8,3.7,0.55,310.0,5.9,6.8,43.0,480.0,0.46,9.0,35.0,207.0,CA
55.411224600000004,1.04630058,18.36364283,6.889924907999999,1.985835795,11.74419018,3.331079398,1.227801701,0.704705,0.512824,18.444000000000003,15.616,38.375,17.0,36.0,22.0,5.3,5.3,2.9,0.44,296.0,4.1,3.8,53.0,298.0,0.3,4.6,28.0,156.0,CA
54.78858628,1.015743454,17.13425826,8.38814852,4.781176256,8.043867349,3.775692837,2.072527047,0.704651,0.512871,18.578,15.614,38.532,14.6,34.0,21.0,4.9,5.1,2.77,0.44,334.0,3.9,3.3,57.0,369.0,0.21,4.0,27.0,132.0,CA
62.68993069,0.33803394,18.84795302,5.084167037,2.089664356,4.455901936,5.162700173999999,1.331648854,0.704604,0.512772,18.498,15.614,38.415,10.6,23.0,12.0,2.61,2.3,1.46,0.24,388.0,3.1,4.1,30.0,488.0,0.29,2.0,12.0,87.0,CA
61.34871421,0.41035929200000004,18.97911727,5.555808863999999,2.236458143,5.201304031,4.955088455,1.313149736,0.704426,0.5128010000000001,18.495,15.604000000000001,38.368,10.0,22.0,13.0,2.8,2.7,1.7,0.28,457.0,1.5,2.1,25.0,580.0,0.13,0.93,14.0,78.0,CA
66.12016832,0.507024765,16.86633402,3.944675665,2.4109544940000003,2.141920946,5.173722091,2.835199706,0.706615,0.512744,18.855999999999998,15.647,38.842,13.0,28.0,14.0,2.9,2.7,1.3,0.21,445.0,2.5,4.2,85.0,214.0,0.34,3.1,13.0,214.0,CA
66.90031955,0.525718998,15.8746521,4.463457376,1.061746212,1.5153077,7.916709618,1.742088444,0.704404,0.512793,18.634,15.620999999999999,38.666,14.0,30.0,14.0,2.5,2.1,0.91,0.14,378.0,3.3,4.2,34.0,247.0,0.3,4.3,8.7,118.0,CA
46.77829323,3.590439173,14.56692465,13.77816785,8.309302087,8.12465093,3.6314727639999997,1.220749319,0.7039300000000001,0.512876,19.09,15.635,38.815,17.0,40.0,27.0,7.2,7.2,2.3,0.31,242.0,3.5,30.0,20.0,463.0,1.9,1.9,30.0,192.0,CA
47.18369063,3.6044556539999997,14.71206389,13.913409,8.354350567000001,7.4401008829999995,3.551912568,1.240016814,0.7039300000000001,0.512876,19.09,15.635,38.815,16.0,37.0,26.0,6.9,7.2,2.3,0.32,142.0,5.1,29.0,17.0,399.0,1.9,2.0,29.0,181.0,CA
