Sample ID,Phase ID,Grain ID,Mineralized,Al,V ,Cr,Fe,Zr,Nb,Sn,Hf,Ta,W
185950,Anatase,R4gr9,unmin,159,368,5.2,479,4,983,8.7,0.26,78,4.48
185950,Anatase,R4gr6,unmin,668,391,12.2,1186,206,2300,5.7,3.99,116,94.00
185950,Anatase,R4gr4,unmin,534,124,6.5,1430,1,4450,7.4,0.10,215,1.88
185950,Anatase,R4gr2,unmin,307,189,8.0,2800,12,1588,6.3,0.43,64,13.50
185950,Anatase,R4gr2,unmin,282,120,8.9,1390,5,1930,3.7,0.28,85,21.30
185950,Anatase,R4gr1,unmin,1100,112,9.3,6600,24,3400,11.8,0.64,164,34.00
185950,Anatase,R5gr1,unmin,599,356,16.0,848,4,1453,12.8,0.26,91,3.14
185950,Anatase,R5gr1,unmin,421,345,12.2,618,4,1378,13.6,0.20,78,4.80
185950,Anatase,R5gr2,unmin,38,384,9.5,89,3,1145,6.3,0.10,53,3.68
185950,Anatase,R5gr2,unmin,338,617,11.8,548,4,1160,12.1,0.28,74,7.70
185950,Anatase,R5gr2,unmin,358,739,12.4,722,3,1092,14.0,0.15,65,3.34
185950,Anatase,R5gr4,unmin,1662,608,16.4,1470,3,1285,11.3,0.20,69,3.99
185950,Anatase,R5gr5,unmin,678,525,12.3,1157,2,1078,8.5,bdl,56,2.03
185950,Anatase,R5gr7,unmin,147,1133,12.9,506,7,1290,7.0,0.33,59,11.60
185950,Anatase,R5gr7,unmin,7,223,4.7,176,6,664,1.7,0.32,101,2.02
185950,Anatase,R5gr7,unmin,71,1428,12.9,570,3,1123,9.5,0.26,53,11.01
185950,Anatase,R5gr10,unmin,431,285,11.8,1227,2,6480,14.9,0.11,296,7.46
185950,Anatase,R5gr13,unmin,387,208,6.9,793,3,1205,7.8,0.13,55,3.16
185950,Anatase,R5gr15,unmin,278,399,8.4,920,2,1253,15.7,bdl,54,1.81
185950,Anatase,R5gr16,unmin,734,535,7.2,931,5,1810,11.4,0.18,128,5.40
185950,Anatase,R5gr16,unmin,605,611,8.6,902,4,1910,13.8,0.25,128,5.83
185950,Anatase,R5gr16,unmin,534,568,8.9,936,3,1950,10.4,0.18,142,5.42
185950,Anatase,R5gr16,unmin,638,636,9.3,961,4,2080,13.8,0.31,153,6.83
185950,Anatase,R5gr18,unmin,399,632,12.6,2000,4,1024,18.3,0.11,63,15.10
185950,Anatase,R5gr20,unmin,334,294,11.7,888,2,2040,12.2,0.14,131,2.63
185950,Anatase,R5gr21,unmin,291,779,11.3,1001,36,1173,17.6,0.91,50,8.35
185950,Anatase,R5gr24,unmin,203,795,12.1,818,2,856,17.2,0.24,50,4.54
185950,Anatase,R5gr24,unmin,404,500,13.9,968,9,917,12.9,0.25,51,18.10
185950,Anatase,R5gr24,unmin,52,550,14.7,296,3,935,11.3,0.20,55,9.96
185950,Anatase,R5gr24,unmin,123,530,5.5,333,3,997,9.1,0.21,62,13.67
185950,Anatase,R5gr27,unmin,312,198,3.5,535,2,1278,4.7,0.16,47,2.78
185950,Anatase,R5gr28,unmin,422,898,15.8,702,3,1806,15.7,0.15,67,6.79
185950,Anatase,R5gr29,unmin,772,660,8.3,843,2,1222,10.4,0.18,57,3.71
185950,Anatase,R5gr29,unmin,459,512,5.0,798,17,1419,9.1,0.47,58,16.70
185950,Anatase,R5gr32,unmin,1001,235,10.4,2170,3,6290,6.9,0.18,324,7.30
185950,Anatase,R5gr33,unmin,30,72,6.5,136,5,1388,2.0,0.25,127,2.05
185950,Anatase,R5gr34,unmin,522,368,11.1,1241,3,1640,11.9,0.30,75,3.39
185950,Anatase,R5gr35,unmin,690,208,18.5,1115,4,2010,15.4,0.31,84,17.90
185950,Anatase,R5gr35,unmin,457,173,19.6,1240,82,1817,10.5,1.50,63,38.00
185950,Anatase,R6gr38,unmin,404,496,11.5,839,1,1692,17.6,bdl,82,16.74
185950,Anatase,R6gr38,unmin,32,109,6.0,108,3,1474,2.5,0.19,129,3.07
185950,Anatase,R6gr37,unmin,152,624,7.6,339,13,1299,7.8,0.36,124,6.50
185950,Anatase,R6gr37,unmin,563,1265,18.8,803,9,1659,13.0,0.19,87,6.12
185950,Anatase,R6gr35,unmin,428,157,9.3,2690,20,5600,10.2,0.44,365,6.37
185950,Anatase,R6gr33,unmin,175,223,6.0,368,7,1875,5.7,0.27,118,6.45
185950,Anatase,R6gr33,unmin,239,496,5.8,685,2,1451,21.7,bdl,86,1.44
185950,Anatase,R6gr33,unmin,389,367,8.3,854,2,1591,13.6,0.11,97,1.65
185950,Anatase,R6gr31,unmin,287,345,5.7,662,3,1315,13.9,0.12,60,4.67
185950,Anatase,R6gr29,unmin,318,363,9.0,1510,2,1566,11.7,0.12,80,2.82
185950,Anatase,R6gr28,unmin,1198,462,9.2,1252,3,1502,13.1,0.29,78,4.43
185950,Anatase,R6gr27,unmin,613,1246,32.4,962,3,1364,10.6,0.18,56,3.70
185950,Anatase,R6gr26,unmin,393,581,8.6,1228,2,1302,14.7,0.17,61,3.18
185950,Anatase,R6gr25,unmin,3470,243,13.9,3680,510,1025,3.3,11.50,74,104.00
185950,Anatase,R6gr24,unmin,175,688,10.6,450,4,1232,15.3,0.13,69,5.70
185950,Anatase,R6gr23,unmin,835,512,15.2,987,3,1480,12.1,0.12,74,4.22
185950,Anatase,R6gr22,unmin,217,708,10.2,720,7,1021,16.4,0.26,51,7.02
185950,Anatase,R6gr21,unmin,309,142,7.3,1014,1,2030,5.2,bdl,71,1.94
185950,Anatase,R6gr21,unmin,203,176,7.6,882,2,1711,9.3,bdl,78,1.25
185950,Anatase,R6gr20,unmin,176,238,10.8,505,2,2240,10.6,0.10,107,2.64
185950,Brookite,R1gr11,unmin,4370,195,11.7,7540,6,3100,8.6,0.21,136,3.06
185950,Brookite,R1gr11,unmin,5400,174,12.4,8390,209,3210,9.0,3.66,141,2.83
185950,Brookite,R1gr11,unmin,7270,168,12.3,7020,5,3170,7.3,0.40,168,2.36
185950,Brookite,R1gr11,unmin,6510,200,12.9,7280,9,3060,9.7,0.32,165,2.02
185950,Brookite,R1gr13,unmin,5840,356,17.0,3680,3,1789,10.9,bdl,104,5.21
185950,Brookite,R1gr13,unmin,5030,558,17.1,4410,2,1519,16.8,0.16,95,7.13
185950,Brookite,R1gr13,unmin,6070,349,16.6,3600,2,1751,11.4,0.13,106,5.50
185950,Brookite,R1gr19,unmin,2140,391,15.8,5420,20,1200,27.0,0.36,91,3.98
185950,Brookite,R1gr19,unmin,3850,410,25.7,4040,7,1582,20.0,0.39,100,6.45
185950,Brookite,R1gr19,unmin,2439,298,15.1,3850,6,1821,9.8,0.33,112,9.93
